date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:40	4565/4565	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2016:01:39%20GMT	https://btech.id/robots.txt		(from )
23:01:40	44224/44224	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:40%20GMT	https://btech.id/	btech.id/index.html	(from )
23:01:40	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%225cc3fe71-10be%22	https://btech.id/static/website/images/btech.ico	btech.id/static/website/images/btech.ico	(from https://btech.id/)
23:01:42	750636/750636	---MCZ	200	added ('OK')	text/css	etag:W/%2261de8e88-b742c%22	https://btech.id/static/CACHE/css/output.5f4188303963.css	btech.id/static/CACHE/css/output.5f4188303963.css	(from https://btech.id/)
23:01:42	3671/3671	---M--	200	added ('OK')	image/png	etag:%22613a95c3-e57%22	https://btech.id/static/images/logo_btech_black.png	btech.id/static/images/logo_btech_black.png	(from https://btech.id/)
23:01:44	33235/33235	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:44%20GMT	https://btech.id/contact/	btech.id/contact/index.html	(from https://btech.id/)
23:01:44	455668/455668	---M--	200	added ('OK')	image/webp	etag:%22614027f1-6f3f4%22	https://btech.id/media/images/banners/home-header_gqDUF15.webp	btech.id/media/images/banners/home-header_gqDUF15.webp	(from https://btech.id/)
23:01:44	41187/41187	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:44%20GMT	https://btech.id/solution/1/	btech.id/solution/1/index.html	(from https://btech.id/)
23:01:45	40131/40131	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2016:01:44%20GMT	https://btech.id/solution/6/	btech.id/solution/6/index.html	(from https://btech.id/)
23:01:45	25524/25524	---M--	200	added ('OK')	image/webp	etag:%22613a16a3-63b4%22	https://btech.id/media/images/banners/DevOps_as_a_Service.webp	btech.id/media/images/banners/DevOps_as_a_Service.webp	(from https://btech.id/)
